UC Major																																																						
Aerospace Engineering/B.S.		Chem120		Chem121		Math192		Math193		Math292		Math194																																										
African American Studies/B.A.		No Course Articulated																																																				
African and Middle Eastern Studies/B.A.		No Course Articulated																																																				
American Indian Studies/B.A.		Anthr130		Polsc120		Polsc121		Bus240		Math142		Math144																																										
American Literature and Culture/B.A.		Engl122		Engl123		Engl252		Engl253		Engl262		Engl 263		Drama 142		Engl163			Engl164		Engl166			Engl167		Engl168		Engl190																										
Ancient Near East and Eygptology/B.A.		No Course Articulated																																																				
Anthropology/B.A.		Anthr140		Anthr125		Anthr130																																																
Anthropology/B.S.		Anthr140		Anthr125		Anthr130		Biosc130		Bio131		Chem120		Chem121		Chem226			Math192		Math193			Bus240		Math142		Math144		Phys120		Phys121		Phys124		Phys125																		
Applied Lingusitics/B.A.		No Course Articulated																																																				
Applied Mathemattics/B.S.		Math192		Math193		Math292		Math194		Math294		Comsc200		Phys130		Phys230			Chem120		Chem121			Phys231																														
Arabic/B.A.		No Course Articulated																																																				
Architectural Studies/B.A.		No Course Articulated																																																				
Art History/B.A.		Arths195		Arths196		Arths197		Arths193																																														
Art/B.A.		No Course Articulated																																																				
Asian American Studies/B.A.		Hist129		Engl163																																																		
Asian Humanities/B.A.		No Course Articulated																																																				
Asian Languages and Lingustics/B.A.		No Course Articulated																																																				
Asian Religions/B.A.		No Course Articulated																																																				
Asian Studies/B.A.		Anthr130		Geog130		Econ221		Econ220		Geog135		Polsc220		Socio120		Arths193																																						
Astrophysics/B.S.		Phys130		Phys230		Phys231		Math192		Math193		Math292		Math194		Math294			Comsc200		Chem120																																	
Atmospheric and Oceanic Sciences/B.S.		Math192		Math193		Math292		Math194		Math294		Phys130		Phys230		Phys231			Phys120		Phys121			Phys124		Phys125		Chem120		Chem121		Comsc200																						
Atmospheric, and Oceanic Scienes/Mathematics/B.S.		Geog		Chem120		Chem121		Math192		Math193		Math292		Math194		Math294			Comsc200																																			
Biochemistry/B.S.		Chem120		Chem121		Math192		Math193		Math292		Phys130		Phys230		Phys231			Phys120		Phys124			Phys121		Phys125		Biosc130		Biosc131		Chem226		Chem227																				
Bioengineering/B.S.		Chem120		Chem121		Chem226		Chem227		Math192		Math193		Math292		Math194			Math294		Phys130			Phys230		Phys231		Engl123		Engl126		Comm121		Hist122		Philo130		Psych145		Socio122		Comsc110		Comsc165		Comsc200		Engin136		Engin230				Biosc130
Biology/B.S.		Biosc130		Biosc131		Chem120		Chem121		Bus240		Math142		Math144		Math192			Math193		Phys120			Phys124																														
Biophysics/B.S.		Chem120		Chem121		Math192		Math193		Math292		Math194		Math294		Biosc130			Biosc131		Phys130			Phys230		Phys231																												
Business Economics/B.A.		Econ221		Econ220		Math192		Math193		Engl123		Engl126		Hist122		Philo130			Psych145		Socio122			Comm121		Busac186		Busac187																										
Central and East European Languages and Culture/B.A.		No Course Articulated																																																				
Chemical Engineering/B.S.		Chem120		Chem121		Math192		Math193		Math292		Math194		Math294		Phys130			Phys230		Phys231			Engl122		Engl123		Engl126		Comm121		Hist122		Philo130		Psych145		Socio122		Comsc110		Comsc165		Comsc200		Engin136								
Chemisty/B.S.		Chem120		Chem121		Math192		Math193		Math292		Math194		Phys130		Phys230			Phys231		Chem226			Chem227																														
Chemisty/Material Science/B.S.		Chem120		Chem121		Math192		Math193		Math292		Math194		Phys130		Phys230			Phys231		Chem226																																	
Chicana and Chicano Studies/B.A.		No Course Articulated																																																				
Chinese/B.A.		No Course Articulated																																																				
Civil Engineering/B.S.		Chem120		Chem121		Math192		Math193		Math292		Math194		Math294		Phys130			Phys230		Phys231			Engl123		Engl126		Comm121		Hist122		Philo130		Psych145		Socio122		Comsc110		Comsc165		Engin136		Engin257										
Classical Civilization/B.A.		No Course Articulated																																																				
Climate/B.S.		Chem120		Math192		Math193		Math292		Math294		Phys130		Phys230		Phys231			Phys120		Phys124			Phys121		Phys125		Comsc200		Bus240		Math142		Math144																				
