Broad Discipline 	College/School** 	Major	Admit GPA Range	Admit Rate	Enroll GPA Range	Yield Rate	Admits	Applicants	Enrolls
Agriculture & Natural Resources	Letters & Science	ENVIRONMENTAL SCIENCE	3.77 - 3.88	0.096	masked	0.25	12	125	3
Architecture & Environ Design	The Arts & Architecture	ARCHITECTURAL STUDIES	3.73 - 3.98	0.138888889	3.67 - 3.93	0.4	30	216	12
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	AFRICAN AMERICAN STUDIES	3.38 - 3.64	0.356164384	3.38 - 3.59	0.807692308	26	73	21
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	AMERICAN INDIAN STUDIES	3.38 - 3.95	0.5	masked	0.6	5	10	3
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	ASIAN AMERICAN STUDIES	3.39 - 3.84	0.275	3.46 - 3.84	0.636363636	11	40	7
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	ASIAN HUMANITIES	3.61 - 3.93	0.274647887	3.60 - 3.79	0.512820513	39	142	20
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	CHICANA & CHICANO STUDIES	3.31 - 3.59	0.494382022	3.31 - 3.59	0.75	44	89	33
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	GENDER STUDIES	3.38 - 3.75	0.484848485	3.38 - 3.76	0.760416667	96	198	73
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	PRE-ASIAN STUDIES	3.60 - 3.87	0.314285714	3.56 - 3.84	0.787878788	33	105	26
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	PRE-EUROPEAN STUDIES	3.83 - 3.94	0.454545455	masked	0.6	5	11	3
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	PRE-LATIN AMERICAN STUDIES	3.34 - 3.72	0.5625	3.31 - 3.73	0.777777778	9	16	7
"Area, Ethn, Cultur & Gender Stu"	Letters & Science	SPANISH AND COMMUNITY AND CULTURE	3.37 - 3.75	0.655172414	3.35 - 3.67	0.421052632	19	29	8
Biological Sciences	Letters & Science	BIOCHEMISTRY	3.74 - 3.93	0.323119777	3.68 - 3.92	0.456896552	116	359	53
Biological Sciences	Letters & Science	BIOLOGY	3.74 - 3.94	0.175879397	3.68 - 3.91	0.537142857	175	995	94
Biological Sciences	Letters & Science	BIOPHYSICS	3.83 - 3.95	0.315789474	masked	0.5	6	19	3
Biological Sciences	Letters & Science	"ECOLOGY, BEHAVIOR & EVOLUTION"	3.50 - 3.71	0.155555556	3.49 - 3.76	0.857142857	7	45	6
Biological Sciences	Letters & Science	"MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY"	3.76 - 3.94	0.331550802	3.67 - 3.92	0.532258065	62	187	33
Biological Sciences	Letters & Science	NEUROSCIENCE	3.74 - 3.95	0.235602094	3.72 - 3.94	0.644444444	45	191	29
Biological Sciences	Letters & Science	PHYSIOLOGICAL SCIENCE	3.74 - 3.92	0.23880597	3.72 - 3.94	0.75	32	134	24
Biological Sciences	Letters & Science	PRE-COMPUTATIONAL & SYSTEMS BIOLOGY	masked	0.333333333	masked	0.75	4	12	3
Biological Sciences	Letters & Science	PRE-MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS	3.75 - 3.92	0.26119403	3.65 - 3.91	0.628571429	35	134	22
Business & Management	Letters & Science	PRE-BUSINESS ECONOMICS	3.88 - 4.00	0.105038023	3.86 - 4.00	0.533936652	221	2104	118
Computer & Information Sciences	Engineering & Applied Sci	COMPUTER SCIENCE	3.90 - 4.00	0.075898802	3.90 - 4.00	0.631578947	114	1502	72
Engineering	Engineering & Applied Sci	AEROSPACE ENGINEERING	3.88 - 4.00	0.137931034	3.89 - 4.00	0.541666667	24	174	13
Engineering	Engineering & Applied Sci	BIOENGINEERING	3.90 - 4.00	0.107594937	3.93 - 4.00	0.470588235	17	158	8
Engineering	Engineering & Applied Sci	CHEMICAL ENGINEERING	3.87 - 3.96	0.204878049	3.87 - 3.96	0.357142857	42	205	15
Engineering	Engineering & Applied Sci	CIVIL ENGINEERING	3.81 - 3.94	0.180995475	3.85 - 3.92	0.325	40	221	13
